,count,mean,std,min,25%,50%,75%,max
Open,1985.0,264.45403602015114,100.83194636669275,113.72,172.58,270.83,347.83,503.07
High,1985.0,266.4449701763224,101.55090792609408,114.54,173.58,273.96,351.0295,503.52
Low,1985.0,262.3027907304786,99.99672526591962,113.45,170.93,267.53,343.89,498.39
Close,1985.0,264.5076322418136,100.80021244305134,113.65,172.21,270.38,347.74,502.96
Volume,1985.0,44120245.44534005,22717860.856630754,7052539.0,27539660.0,39204040.0,55400500.0,199448100.0
return_1d,1985.0,0.0007808447920551428,0.014402821577906354,-0.11978787563689297,-0.005311568856069426,0.0012712201064646322,0.00808135839462465,0.08470561696368151
return_5d,1985.0,0.0038754905506306414,0.029086523872467865,-0.1619641760007562,-0.010771992818671472,0.006329113924050667,0.02060618707287798,0.12659861551097018
gap_return,1985.0,0.0004690401419454555,0.008682701551387886,-0.09457211188520331,-0.0031053683609366667,0.0008206474908702965,0.004372769887357464,0.05543822597676873
sma_ratio_5,1985.0,0.0014025856201708247,0.014580359072441276,-0.09782689786739707,-0.005901958061380497,0.0029904116240340173,0.010140605027695093,0.06727325309781773
sma_ratio_10,1985.0,0.0032011131627562484,0.021764447261884715,-0.1445909143731967,-0.0069776653767634755,0.005884649306710177,0.016631982654362165,0.0857432775240996
sma_ratio_20,1985.0,0.006837532307134188,0.03150144134546366,-0.19323902855114206,-0.0084062134463051,0.012499243634674695,0.02677695774926936,0.1257023684595051
sma_cross_5_20,1985.0,0.005334706588861729,0.02449708335561429,-0.12077687399303627,-0.006537773634522237,0.010009229248950424,0.02095534799860177,0.08946042290758038
ema_ratio_12,1985.0,0.0037654388096818293,0.020412938336608396,-0.14066840600666108,-0.005568689979672303,0.007438872776622807,0.016373531916649142,0.07759590154523166
macd,1985.0,0.004301048100295846,0.013918271122254657,-0.07581404304000113,-0.0023275540615396452,0.007252633451140028,0.013748938862998076,0.030792428696887676
macd_signal,1985.0,0.004312613424716044,0.012918508422078217,-0.060541548784807976,-0.0016543298795312267,0.007031696452469617,0.012994897669921027,0.027211178969718794
rsi_14,1985.0,56.44240545392249,11.832604970059853,21.9692584781901,47.902183547092086,57.40056020064062,65.07243431713042,85.41622053353186
stoch_k_14,1985.0,64.48847784999427,30.869532788846964,0.0,40.07035987247999,74.0610328638497,91.74698795180721,100.00000000000001
roc_10,1985.0,0.007782390007184514,0.04027739902058573,-0.21772479438129555,-0.013131458094144732,0.012993262752646784,0.03278743652688565,0.16971093192913167
range_pct,1985.0,0.015330979300431945,0.01015446430573546,0.0024550304518200757,0.008411214953270888,0.012765203332918754,0.019287590282337525,0.09167158889545192
atr_14_pct,1985.0,0.01697417187544002,0.008885985580896804,0.0051686209507438305,0.010915448455996977,0.014607061563152285,0.02132645518940561,0.07922838731274587
volatility_10,1985.0,0.012317780016737953,0.007759553293426546,0.001857462608721415,0.007289472107547758,0.010559590524363229,0.015594212389669905,0.072261807424468
volatility_20,1985.0,0.01256267815385028,0.007169402303181613,0.002980811330163015,0.007537434066238187,0.010778738725931622,0.016211250537161218,0.05815366274661011
bb_width_20,1985.0,0.086117161534487,0.046054888399693135,0.01842299109044894,0.05377552396798762,0.0764105266261037,0.10672742081211284,0.35712536511266557
volume_change,1985.0,0.05680839277859696,0.3801334393277643,-0.7021253708715656,-0.18963851224485873,-0.011284132241739964,0.2139865518438291,3.339160601319638
volume_ratio_20,1985.0,1.0135196629489072,0.37096267168368113,0.24368195882629373,0.7749390515445989,0.9366416019522401,1.1696613795368842,3.7408001638764414
obv_change_5,1985.0,0.40532552922852394,2.2785851815483076,-5.0,-1.3014022028411325,0.49849769963859036,2.2229931847563518,5.0
