feature,importance_mean,importance_std,family
atr_14_pct,0.031501176075268734,0.00848058422794957,Volatility
rsi_14,0.012718413978494544,0.007216970280605628,Momentum
roc_10,0.012131216397849398,0.010914291602843936,Momentum
volatility_20,0.011904401881720357,0.015284822179092135,Volatility
stoch_k_14,0.011355846774193485,0.010411494851864612,Momentum
sma_cross_5_20,0.00888356854838704,0.007276038516488626,Trend
range_pct,0.008544186827956915,0.005479395095634312,Volatility
bb_width_20,0.006344086021505298,0.008316134962542404,Volatility
return_5d,0.004910114247311751,0.01595309749981181,Return history
gap_return,0.004585013440860138,0.009681380214484465,Return history
return_1d,0.004485887096774118,0.009982140106778918,Return history
sma_ratio_5,0.004428763440860125,0.010545600657469364,Trend
sma_ratio_20,0.00427839381720424,0.005008855416939879,Trend
volume_ratio_20,0.0007619287634407816,0.009028953224998859,Volume
sma_ratio_10,-0.00013608870967746583,0.005878381237969048,Trend
volatility_10,-0.00056115591397858,0.012060743364556523,Volatility
obv_change_5,-0.0017229502688172768,0.0114937195078258,Volume
macd,-0.002122815860215088,0.004548360227510674,Trend
ema_ratio_12,-0.005999663978494685,0.006216780175688445,Trend
macd_signal,-0.00912298387096782,0.01306245245434856,Trend
volume_change,-0.012605846774193614,0.011762762765052863,Volume
