,count,mean,std,min,25%,50%,75%,max
Open,1127.0,387.3815598935226,79.04134688311827,255.16,322.83000000000004,369.26,452.045,570.76
High,1127.0,390.36378314108254,79.04500857783067,264.21,326.30105000000003,371.2516,455.5175,572.11
Low,1127.0,384.1874501330967,78.82867914425161,254.26,319.22,366.82,448.04499999999996,566.87
Close,1127.0,387.4753327417924,78.9922676176843,260.1,323.47,369.3,451.655,568.14
Volume,1127.0,49892719.30789707,21150605.877547525,15333970.0,35188805.0,46466140.0,59376780.0,199448100.0
return_1d,1127.0,0.0006081090983820885,0.01462705306062077,-0.06210890693649318,-0.006977865594653465,0.001043379284178636,0.008597567110668503,0.12003076479353947
return_5d,1127.0,0.002991753290702356,0.0307689003515318,-0.11982229744023687,-0.014879219350166395,0.005369928400954738,0.021277566111214785,0.10077873383646585
gap_return,1127.0,0.0002611334852992016,0.00848617207909338,-0.05357103064066859,-0.0037264718354200754,0.0006574449061169663,0.004377660761369251,0.04819231353486253
sma_ratio_5,1127.0,0.0010566013465445063,0.015498536758502624,-0.0775828204792457,-0.007695621901100014,0.0027584501682500484,0.01087325326705546,0.06925858619233805
sma_ratio_10,1127.0,0.002353380339749597,0.022868150591473048,-0.10264194846884167,-0.010179119040572615,0.004985602719515647,0.017560731499843496,0.06212540930262689
sma_ratio_20,1127.0,0.004993061646833021,0.03329333104729231,-0.112228252462091,-0.01600974714383807,0.01025033618609128,0.027779980757731804,0.09745879072518471
sma_cross_5_20,1127.0,0.0038309106385121363,0.025864699121313228,-0.07301878907715498,-0.012852948756588711,0.00811509570919422,0.021896037231942778,0.06777348756066681
ema_ratio_12,1127.0,0.0027052423323518666,0.021524047091905835,-0.09385628572091331,-0.009532076714821425,0.007077774154917504,0.016822059267165623,0.06507682946879156
macd,1127.0,0.0028188166616107914,0.014829479735934238,-0.04405681224900322,-0.006066468934045577,0.006801223399529208,0.013869134414848263,0.0281862755357026
macd_signal,1127.0,0.002807316494005954,0.013849950920310047,-0.040329733280804074,-0.005092468561720723,0.006529720954961277,0.01311186852796261,0.025853828377111348
rsi_14,1127.0,54.70381578761302,11.855868723614606,23.111674777059264,45.38864776471908,55.95337857031246,63.75316345382856,81.589856693049
stoch_k_14,1127.0,61.23861125621508,32.07276884205095,0.0,33.47338599357676,69.62741184298073,90.40459385101533,100.0
roc_10,1127.0,0.005867347202316227,0.04238639785484716,-0.15685161917885948,-0.01954989523014622,0.011626398152233097,0.035292583869896754,0.1469025992394004
range_pct,1127.0,0.01651418529844587,0.009666870797146008,0.0038194811138099046,0.010318179191051319,0.014192937089164803,0.020137063135600153,0.11244635193133043
atr_14_pct,1127.0,0.018397762341858248,0.007443344499224127,0.008276531438428136,0.012695522458908499,0.016180230942895436,0.02242900131435291,0.051566972428647294
volatility_10,1127.0,0.013270039489037624,0.006561074518262742,0.003123974209579661,0.008777179094667256,0.011901506385051283,0.016094674013803892,0.051891103427099454
volatility_20,1127.0,0.013546417312060249,0.005874057781758155,0.004970634035889839,0.009362075752118365,0.01206587337354676,0.01676631447629416,0.03846225576783061
bb_width_20,1127.0,0.0935992074985726,0.04119802834962964,0.021465607989701447,0.0630422036568947,0.08291242875364695,0.1214798390453277,0.2065198048612776
volume_change,1127.0,0.04103977462627399,0.30668138247657284,-0.6699200340642963,-0.17272491310311117,-0.011587541271593782,0.19788315624315733,2.05719567869405
volume_ratio_20,1127.0,1.0100602563648975,0.32238264417868784,0.267938054529391,0.8065384030382388,0.9421185933053221,1.1638243134338324,3.0064031006201195
obv_change_5,1127.0,0.27870145944056585,2.20509191885605,-5.0,-1.3567112221317115,0.4335610830214689,1.7633641383857697,5.0
