feature,importance_mean,importance_std,family
sma_ratio_5,0.01976911976911975,0.009194732901567332,Trend
bb_width_20,0.01846957951609114,0.009163243551412943,Volatility
roc_10,0.016883955837444207,0.007882082169086929,Momentum
sma_cross_5_20,0.015250511762139657,0.009534232070349027,Trend
return_1d,0.015210241954427989,0.011473418039448962,Return history
obv_change_5,0.01407094197791871,0.008961483614965373,Volume
range_pct,0.010025504211550724,0.006699938842924494,Volatility
atr_14_pct,0.009642941038289875,0.013364826401270003,Volatility
sma_ratio_10,0.00920836269673478,0.00630888321411923,Trend
macd_signal,0.008957515352864202,0.009879428021255082,Trend
stoch_k_14,0.008908017047551934,0.005122150845888647,Momentum
volatility_20,0.008002785328366723,0.012141228908860335,Volatility
volume_ratio_20,0.0076864995469646535,0.009235269900675367,Volume
ema_ratio_12,0.005701533608510323,0.006437401244340167,Trend
volatility_10,0.005352528608342564,0.01195538057875143,Volatility
volume_change,0.004147790194301824,0.011955809870058218,Volume
sma_ratio_20,0.003693915903218207,0.00674664416219601,Trend
return_5d,0.0025453874291083405,0.008814466523333505,Return history
macd,0.0022014161549045266,0.006634760594074178,Trend
rsi_14,0.0004454847478103319,0.007905768441198995,Momentum
gap_return,-0.003573945434410545,0.010511335068851494,Return history
