min_support,min_confidence,frequent_itemsets,all_rules,target_rules,stable_rules,nonredundant_rules
0.02,0.5,98,123,29,26,13
0.02,0.6,98,111,27,25,13
0.02,0.7,98,82,24,22,11
0.02,0.8,98,59,19,17,9
0.03,0.5,94,123,29,26,13
0.03,0.6,94,111,27,25,13
0.03,0.7,94,82,24,22,11
0.03,0.8,94,59,19,17,9
0.05,0.5,75,102,25,24,12
0.05,0.6,75,96,24,23,12
0.05,0.7,75,70,21,20,10
0.05,0.8,75,49,16,15,8
0.075,0.5,58,88,20,20,10
0.075,0.6,58,83,19,19,10
0.075,0.7,58,60,17,17,8
0.075,0.8,58,40,13,13,7
0.1,0.5,49,74,15,15,9
0.1,0.6,49,70,15,15,9
0.1,0.7,49,51,13,13,7
0.1,0.8,49,36,11,11,6
0.15,0.5,36,68,13,13,8
0.15,0.6,36,64,13,13,8
0.15,0.7,36,45,11,11,6
0.15,0.8,36,31,9,9,5
0.25,0.5,21,22,6,6,5
0.25,0.6,21,22,6,6,5
0.25,0.7,21,22,6,6,5
0.25,0.8,21,18,5,5,4
