Rule ID,Antecedent,Consequent,n(X),n(X∪Y),Distinct days,Support,Confidence,Consequent baseline,Lift,Validation support,Validation confidence,Validation lift,Plant 1 lift,Plant 2 lift
R1,"AmbientTemp_High, Irradiation_High",ACPower_High,453,396,27,0.10978652619905739,0.8741721854304636,0.29442750207929025,2.9690575073895316,0.041666666666666664,0.9183673469387755,4.50834879406308,3.0855336110528366,2.767872903795234
R2,Irradiation_High,ACPower_High,1053,872,34,0.24175214859994454,0.8281101614434948,0.29442750207929025,2.8126114428688194,0.15648148148148147,0.8009478672985783,3.9319258940112025,3.0726278613296705,2.4741595278888258
R3,Irradiation_Low,ACPower_Low,1261,1212,34,0.3360133074577211,0.9611419508326725,0.34738009426115884,2.7668308193563047,0.3638888888888889,0.9401913875598086,2.476601703816081,2.854835562987737,2.687923687219226
R4,ModuleTemp_High,ACPower_High,976,751,33,0.208206265594677,0.7694672131147541,0.29442750207929025,2.613435252076194,0.09444444444444444,0.7611940298507462,3.7367706919945727,2.6943207605717,2.509343912601423
R5,"AmbientTemp_Low, Irradiation_Medium",ACPower_Medium,498,437,34,0.12115331300249514,0.8775100401606426,0.35819240365955085,2.4498287266713916,0.17407407407407408,0.8867924528301887,2.128301886792453,2.7135788690476192,2.23901945065609
R6,ModuleTemp_Low,ACPower_Low,1325,1108,34,0.3071804823953424,0.8362264150943396,0.34738009426115884,2.407237573220497,0.3509259259259259,0.7863070539419087,2.0712478494079547,2.5848396231047484,2.2558324041512994
R7,"Irradiation_Medium, ModuleTemp_Medium",ACPower_Medium,946,800,34,0.22179096201829776,0.8456659619450317,0.35819240365955085,2.3609265671329176,0.2740740740740741,0.8361581920903954,2.006779661016949,2.7821583514099784,1.9917108634765508
R8,Irradiation_Medium,ACPower_Medium,1293,1073,34,0.2974771278070419,0.8298530549110595,0.35819240365955085,2.31678016181439,0.35833333333333334,0.8580931263858093,2.059423503325942,2.7392441860465118,1.9703621291083542
R9,ModuleTemp_Medium,ACPower_Medium,1306,860,34,0.2384252841696701,0.6584992343032159,0.35819240365955085,1.8383953081514706,0.29444444444444445,0.6853448275862069,1.6448275862068964,2.0579963711767757,1.6436716972249104
R10,AmbientTemp_Low,ACPower_Low,1412,864,34,0.2395342389797616,0.6118980169971672,0.34738009426115884,1.761465400884902,0.3074074074074074,0.5834797891036907,1.5369711517853315,1.7977730523089102,1.729055280151658
